ts_utc,corridor,size,provider,old_cost_pct,new_cost_pct,move_pct,n_agree,n_panel,old_day,prev_day_cost_pct,kind
2026-09-08T00:00:00+00:00,USD->MXN,200,PayPal,6.6205,6.7943,0.1738,6,7,2026-09-07,6.598,change
2026-09-08T00:00:00+00:00,USD->MXN,1000,PayPal,4.7092,4.8865,0.1773,6,7,2026-09-07,4.686,change
2026-09-08T00:00:00+00:00,USD->MXN,5000,PayPal,4.327,4.5048,0.1778,6,7,2026-09-07,4.3037,change
2026-09-09T00:00:00+00:00,SGD->PHP,200,Instarem,0.8841,0.7756,-0.1084,3,4,2026-09-08,0.9587,change
2026-09-09T00:00:00+00:00,SGD->PHP,1000,Instarem,0.836,0.7257,-0.1103,4,5,2026-09-08,0.9088,change
2026-09-09T00:00:00+00:00,SGD->PHP,1000,OFX,5.1501,5.2683,0.1182,4,5,2026-09-08,5.2304,change
2026-09-09T00:00:00+00:00,SGD->PHP,5000,Instarem,0.6865,0.5759,-0.1106,4,5,2026-09-08,0.7592,change
2026-09-09T00:00:00+00:00,SGD->PHP,5000,OFX,3.9951,4.1142,0.1191,4,5,2026-09-08,4.0758,change
2026-09-09T00:00:00+00:00,SGD->PHP,25000,Instarem,0.6864,0.5759,-0.1105,4,5,2026-09-08,0.7592,change
2026-09-09T00:00:00+00:00,SGD->PHP,25000,OFX,2.9842,3.1039,0.1197,4,5,2026-09-08,3.0652,change
